"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,2,-1,2,3,0,3,2,3,16,40,1,-1,-1,7,176,2
2018,1,90,1,0,12,1,2,4,18,42,1,-1,40,1,177,0
2018,3,75,2,4,12,1,1,1,14,61,4,-1,60,1,178,2
2018,2,100,1,1,12,3,1,3,16,27,5,-1,43,1,179,0
2018,1,-1,1,3,0,1,1,1,14,52,5,-1,-1,7,180,0
2018,3,998,8,3,0,2,2,1,12,36,5,-1,20,2,181,8
2018,2,-1,2,2,0,1,2,1,16,74,3,-1,-1,5,182,3
2018,1,100,2,0,12,1,1,4,20,36,5,-1,50,1,183,0
2018,2,85,2,0,12,1,1,4,17,34,5,-1,50,1,184,0
2018,1,80,3,2,12,3,1,3,16,46,3,-1,72,1,185,0
2018,3,-1,1,0,2,1,2,1,14,21,5,-1,-1,6,186,1
2018,2,-1,2,2,12,1,2,0,11,72,3,-1,-1,5,187,0
2018,1,90,2,1,12,3,1,3,16,46,1,-1,60,1,188,0
2018,3,-1,2,9,13,1,2,1,14,21,5,-1,-1,6,189,3
2018,2,90,3,4,12,3,1,1,13,46,5,-1,60,1,190,0
2018,3,20,1,6,12,3,1,1,12,53,3,-1,60,1,191,2
2018,3,-1,3,5,0,1,2,4,18,74,2,-1,-1,5,192,3
2018,2,-1,2,2,0,1,1,0,6,70,3,-1,-1,7,193,0
2018,1,100,2,4,12,3,2,3,16,36,1,-1,40,1,194,0
2018,2,-1,2,6,0,1,1,0,11,57,1,-1,-1,5,195,3
2018,1,60,3,4,12,1,1,3,16,60,5,-1,45,1,196,0
2018,2,0,2,6,11,3,2,0,12,53,3,-1,40,1,197,0
2018,1,5,2,1,11,1,1,1,12,69,1,-1,35,1,198,0
2018,3,80,1,1,12,1,2,3,16,38,1,-1,40,1,199,1
2018,1,50,2,5,9,1,2,1,14,48,1,-1,10,2,200,0
2018,1,90,2,4,12,3,1,3,16,30,5,-1,60,1,201,0
2018,1,-1,1,1,12,1,1,1,13,29,5,-1,-1,7,202,0
2018,3,-1,1,0,0,1,2,3,16,68,1,-1,-1,5,203,3
2018,1,-1,2,2,0,1,2,1,13,64,1,-1,-1,7,204,0
2018,3,-1,1,3,0,3,1,4,16,43,1,-1,-1,4,205,3
2018,2,-1,3,7,0,1,2,1,12,69,2,-1,-1,5,206,0
2018,1,30,2,4,12,1,1,1,12,47,1,-1,48,1,207,0
2018,2,-1,2,7,0,1,1,1,12,57,1,-1,-1,7,208,3
2018,3,60,3,1,0,1,1,4,16,50,1,-1,40,1,209,3
2018,2,-1,2,3,98,3,2,1,12,25,5,-1,-1,4,210,0
2018,3,-1,1,0,0,1,1,1,14,75,3,-1,-1,5,211,1
2018,2,20,1,6,12,1,1,1,14,46,1,-1,54,1,212,1
2018,1,-1,3,2,0,1,2,0,10,77,3,-1,-1,5,213,0
